frame_id,timestamp,face_valid,ear_avg,ear_left,ear_right,mar,perclos,head_yaw,head_pitch,head_roll,gen_detected,gen_beat_count,gen_slow_phase_vel,pursuit_fragmentation_ratio,vor_gain,vergence_angle_deg,lack_of_convergence,blink_closing_velocity,blink_opening_velocity,head_postural_sway,facial_flushing_ratio,gaze_yaw_dispersion,deliberate_blink_suppression,voluntary_eye_widening,stare_fixation_duration_s,rigid_head_stabilization,masking_divergence_score,masking_detected,risk_score,involuntary_risk_score,voluntary_masking_score,classification,lockout_recommended
1,0.0,True,0.3169,0.3304,0.3035,0.045,0.0,-0.09,-2.32,-2.53,False,0,0.0,0.0,1.0,30.0,False,0.0,0.0,0.0,1.038,0.0,False,False,0.0,False,0.0,False,0.0,0.0,0.0,SOBER,False
2,0.033,True,0.3323,0.347,0.3177,0.024,0.0,0.69,-1.1,-2.36,False,0,0.0,0.0,0.85,30.0,False,0.0,0.0,0.0,1.071,0.0,False,False,0.03,False,0.0,False,0.0,0.0,0.0,SOBER,False
3,0.067,True,0.3395,0.353,0.326,0.0239,0.0,0.95,-1.44,-2.44,False,0,0.0,0.0,0.722,30.0,False,0.0,0.0,0.0,1.102,0.0,False,False,0.07,False,0.0,False,4.2,4.2,0.0,SOBER,False
4,0.1,True,0.3351,0.3471,0.3232,0.0168,0.0,-0.55,-0.39,-2.37,False,0,0.0,0.0,0.722,30.0,False,0.0,0.0,0.0,1.129,0.0,False,False,0.1,False,0.0,False,4.2,4.2,0.0,SOBER,False
5,0.133,True,0.3334,0.3435,0.3232,0.0191,0.0,-0.4,-0.55,-2.44,False,0,0.0,0.0,0.614,30.0,False,0.0,0.0,0.0,1.154,0.0,False,False,0.13,False,0.0,False,14.0,14.0,0.0,SOBER,False
6,0.167,True,0.3345,0.3379,0.331,0.0341,0.0,-1.21,-1.56,-2.18,False,0,0.0,0.0,0.522,30.0,False,0.0,0.0,0.0,1.175,0.0,False,False,0.17,False,0.0,False,14.0,14.0,0.0,SOBER,False
7,0.2,True,0.329,0.3309,0.3271,0.0452,0.0,-1.33,-1.24,-2.28,False,0,0.0,0.0,0.444,30.0,False,0.0,0.0,0.0,1.195,0.0,False,False,0.2,False,0.0,False,14.0,14.0,0.0,SOBER,False
8,0.233,True,0.3375,0.3475,0.3275,0.0307,0.0,-0.09,0.02,-2.31,False,0,0.0,0.0,0.444,30.0,False,0.0,0.0,0.0,1.213,0.0,False,False,0.23,False,0.0,False,14.0,14.0,0.0,SOBER,False
9,0.267,True,0.3382,0.3482,0.3281,0.0307,0.0,-0.16,0.05,-2.31,False,0,0.0,0.0,0.377,30.0,False,0.0,0.0,0.0,1.229,0.0,False,False,0.27,False,0.0,False,14.0,14.0,0.0,SOBER,False
10,0.3,True,0.3367,0.3463,0.3271,0.0269,0.0,-0.09,-0.05,-2.31,False,0,0.0,0.0,0.321,30.0,False,0.0,0.0,0.763,1.243,0.0,False,False,0.3,False,0.0,False,14.0,14.0,0.0,SOBER,False
11,0.333,True,0.3365,0.346,0.327,0.0267,0.0,-0.07,-0.05,-2.32,False,0,0.0,0.0,0.321,30.0,False,0.0,0.0,0.764,1.256,0.0,False,False,0.33,False,0.0,False,14.0,14.0,0.0,SOBER,False
12,0.367,True,0.3359,0.3449,0.3269,0.0274,0.0,4.44,-1.03,-2.47,False,0,0.0,0.0,0.321,30.0,False,0.0,0.0,0.735,1.267,0.0,False,False,0.37,False,0.0,False,14.0,14.0,0.0,SOBER,False
13,0.4,True,0.3404,0.3513,0.3294,0.0116,0.0,0.42,0.32,-1.79,False,0,0.0,0.0,0.321,30.0,False,0.0,0.0,0.782,1.279,0.0,False,False,0.4,False,0.0,False,14.0,14.0,0.0,SOBER,False
